"season","seasonType","week","poll","rank","school","conference","points","year","points_missing"
2018,"regular",3,"FCS Coaches Poll",7,"Wofford","Southern",488,2018,0
2018,"regular",3,"FCS Coaches Poll",15,"McNeese","Southland",298,2018,0
2018,"regular",3,"FCS Coaches Poll",12,"Nicholls","Southland",354,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",12,"Central Washington","Great Northwest",361,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",10,"West Florida","Gulf South",436,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",1,"East Texas A&M","Lone Star",804,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",11,"Minnesota Duluth","Northern Sun",431,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",2,"Minnesota State Mankato","Northern Sun",789,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",13,"West Chester","Pennsylvania State Athletic",360,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",3,"Indiana-Pennsylvania","Pennsylvania State Athletic",745,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",14,"Colorado Mesa","Rocky Mountain",352,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",17,"Colorado School Of Mines","Rocky Mountain",247,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",22,"CSU Pueblo","Rocky Mountain",154,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",6,"Ferris State","GLIAC",674,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",5,"Grand Valley State University","GLIAC",695,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",19,"Harding University","Great American",197,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",9,"Ouachita Baptist","Great American",499,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",21,"Southern Arkansas","Great American",180,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",25,"Indianapolis","Great Lakes",106,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",24,"Azusa Pacific","Great Northwest",132,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",16,"Valdosta State","Gulf South",295,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",23,"West Alabama","Gulf South",142,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",7,"Midwestern State","Lone Star",645,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",19,"Central Missouri","Mid America",197,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",18,"Fort Hays State","Mid America",245,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",4,"Northwest Missouri St","Mid America",702,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",15,"Pittsburg St","Mid America",300,2018,0
2018,"regular",3,"AFCA Division II Coaches Poll",8,"West Georgia","Gulf South",560,2018,0
2018,"regular",2,"Coaches Poll",8,"Notre Dame","FBS Independents",1077,2018,0
2018,"regular",2,"Coaches Poll",3,"Georgia","SEC",1414,2018,0
2018,"regular",2,"Coaches Poll",25,"Florida","SEC",138,2018,0
2018,"regular",2,"Coaches Poll",24,"South Carolina","SEC",189,2018,0
2018,"regular",2,"Coaches Poll",23,"Oklahoma State","Big 12",225,2018,0
2018,"regular",2,"Coaches Poll",16,"TCU","Big 12",699,2018,0
2018,"regular",2,"Coaches Poll",17,"West Virginia","Big 12",612,2018,0
2018,"regular",2,"Coaches Poll",9,"Stanford","Pac-12",909,2018,0
2018,"regular",2,"Coaches Poll",11,"Washington","Pac-12",800,2018,0
2018,"regular",2,"Coaches Poll",12,"USC","Pac-12",766,2018,0
2018,"regular",2,"Coaches Poll",7,"Auburn","SEC",1219,2018,0
2018,"regular",2,"Coaches Poll",15,"LSU","SEC",724,2018,0
